W,kappa,mu,m,SNR,Limiar,3,4,5,6,7,10,15
1,1.00E-16,1,0.001,1.25,0.95,1.14E-01,9.34E-02,8.12E-02,7.53E-02,7.47E-02,7.47E-02,7.48E-02
1,1.00E-16,1,2,1.25,0.95,1.15E-01,9.41E-02,8.18E-02,7.58E-02,7.53E-02,7.53E-02,7.53E-02
1,1.00E-16,1,50,1.25,0.95,1.15E-01,9.40E-02,8.18E-02,7.58E-02,7.52E-02,7.52E-02,7.53E-02
1,1.00E-16,2,50,1.25,0.95,5.42E-02,2.99E-02,2.52E-02,2.08E-02,2.05E-02,2.05E-02,2.06E-02
1,1.00E-16,5,50,1.25,0.95,2.13E-02,3.10E-03,2.37E-03,1.26E-03,1.21E-03,1.21E-03,1.22E-03
1,5,1,0.001,1.25,0.95,9.30E-01,9.27E-01,9.17E-01,9.12E-01,9.11E-01,9.11E-01,9.11E-01
1,5,1,2,1.25,0.95,7.52E-02,5.34E-02,4.48E-02,4.00E-02,3.95E-02,3.96E-02,3.96E-02
1,5,1,50,1.25,0.95,3.49E-02,1.44E-02,1.13E-02,8.73E-03,8.59E-03,8.60E-03,8.62E-03
1,5,2,0.001,1.25,0.95,9.58E-01,9.56E-01,9.53E-01,9.49E-01,9.49E-01,9.49E-01,9.49E-01
1,5,2,2,1.25,0.95,5.43E-02,3.00E-02,2.50E-02,2.07E-02,2.05E-02,2.05E-02,2.05E-02
1,5,2,50,1.25,0.95,1.87E-02,2.40E-03,1.80E-03,9.14E-04,8.98E-04,8.94E-04,9.00E-04
1,5,5,0.001,1.25,0.95,9.71E-01,9.71E-01,9.70E-01,9.69E-01,9.69E-01,9.69E-01,9.69E-01
1,5,5,2,1.25,0.95,4.17E-02,1.71E-02,1.43E-02,1.07E-02,1.05E-02,1.04E-02,1.05E-02
1,5,5,50,1.25,0.95,1.20E-02,1.57E-04,8.56E-05,1.67E-05,1.33E-05,1.33E-05,1.44E-05
