W,kappa,mu,m,SNR,Limiar,3,4,5,6,7,10,15
1,1.00E-16,1,0.001,1.25,0.95,1.66E-01,1.01E-01,8.97E-02,8.38E-02,8.09E-02,7.73E-02,7.57E-02
1,1.00E-16,1,2,1.25,0.95,1.66E-01,1.02E-01,9.05E-02,8.45E-02,8.15E-02,7.79E-02,7.63E-02
1,1.00E-16,1,50,1.25,0.95,1.66E-01,1.02E-01,9.05E-02,8.46E-02,8.16E-02,7.79E-02,7.63E-02
1,1.00E-16,2,50,1.25,0.95,1.05E-01,3.51E-02,3.02E-02,2.51E-02,2.37E-02,2.18E-02,2.10E-02
1,1.00E-16,5,50,1.25,0.95,6.68E-02,4.47E-03,3.41E-03,1.84E-03,1.62E-03,1.37E-03,1.28E-03
1,5,1,0.001,1.25,0.95,9.45E-01,9.34E-01,9.27E-01,9.22E-01,9.19E-01,9.15E-01,9.13E-01
1,5,1,2,1.25,0.95,1.26E-01,5.97E-02,5.12E-02,4.61E-02,4.40E-02,4.14E-02,4.03E-02
1,5,1,50,1.25,0.95,8.10E-02,1.76E-02,1.42E-02,1.11E-02,1.03E-02,9.27E-03,8.85E-03
1,5,2,0.001,1.25,0.95,9.64E-01,9.59E-01,9.57E-01,9.55E-01,9.54E-01,9.51E-01,9.50E-01
1,5,2,2,1.25,0.95,1.05E-01,3.52E-02,3.01E-02,2.50E-02,2.37E-02,2.18E-02,2.10E-02
1,5,2,50,1.25,0.95,6.24E-02,3.44E-03,2.56E-03,1.34E-03,1.19E-03,1.00E-03,9.26E-04
1,5,5,0.001,1.25,0.95,9.72E-01,9.71E-01,9.71E-01,9.70E-01,9.70E-01,9.70E-01,9.70E-01
1,5,5,2,1.25,0.95,9.30E-02,2.13E-02,1.80E-02,1.36E-02,1.27E-02,1.13E-02,1.08E-02
1,5,5,50,1.25,0.95,5.58E-02,3.08E-04,1.41E-04,3.44E-05,2.33E-05,1.78E-05,1.56E-05
