W,kappa,mu,m,SNR,Limiar,3,4,5,6,7,10,15
1,1.00E-16,1,0.001,1.25,0.95,1.12E-01,9.39E-02,7.86E-02,7.53E-02,7.47E-02,7.47E-02,7.47E-02
1,1.00E-16,1,2,1.25,0.95,1.13E-01,9.46E-02,7.92E-02,7.58E-02,7.52E-02,7.52E-02,7.52E-02
1,1.00E-16,1,50,1.25,0.95,1.13E-01,9.46E-02,7.92E-02,7.58E-02,7.52E-02,7.52E-02,7.52E-02
1,1.00E-16,2,50,1.25,0.95,5.31E-02,3.02E-02,2.38E-02,2.08E-02,2.05E-02,2.05E-02,2.05E-02
1,1.00E-16,5,50,1.25,0.95,2.08E-02,3.22E-03,2.09E-03,1.25E-03,1.21E-03,1.21E-03,1.21E-03
1,5,1,0.001,1.25,0.95,9.28E-01,9.28E-01,9.13E-01,9.12E-01,9.11E-01,9.11E-01,9.11E-01
1,5,1,2,1.25,0.95,7.38E-02,5.38E-02,4.30E-02,4.00E-02,3.95E-02,3.95E-02,3.95E-02
1,5,1,50,1.25,0.95,3.43E-02,1.46E-02,1.06E-02,8.72E-03,8.59E-03,8.59E-03,8.60E-03
1,5,2,0.001,1.25,0.95,9.58E-01,9.55E-01,9.50E-01,9.49E-01,9.49E-01,9.49E-01,9.49E-01
1,5,2,2,1.25,0.95,5.31E-02,3.02E-02,2.36E-02,2.08E-02,2.05E-02,2.05E-02,2.05E-02
1,5,2,50,1.25,0.95,1.82E-02,2.47E-03,1.57E-03,9.23E-04,8.96E-04,8.94E-04,8.96E-04
1,5,5,0.001,1.25,0.95,9.71E-01,9.71E-01,9.70E-01,9.69E-01,9.69E-01,9.69E-01,9.69E-01
1,5,5,2,1.25,0.95,4.08E-02,1.74E-02,1.31E-02,1.07E-02,1.04E-02,1.04E-02,1.04E-02
1,5,5,50,1.25,0.95,1.14E-02,1.77E-04,7.67E-05,1.67E-05,1.33E-05,1.33E-05,1.33E-05
