Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,75.35483870967742,42.617281484406064,64.0,64.0,64.0,64.0,256.0
params_cnn1d_filters_0,209.03225806451613,97.7703846913083,64.0,160.0,192.0,224.0,512.0
params_cnn1d_filters_1,323.6923076923077,79.06054727704966,32.0,288.0,320.0,352.0,512.0
params_cnn1d_filters_2,325.3333333333333,166.1742057801591,96.0,232.0,304.0,472.0,512.0
params_cnn1d_filters_3,392.0,144.0,224.0,296.0,416.0,512.0,512.0
params_cnn1d_kernel_size_0,2.967741935483871,0.5111139212618533,1.0,3.0,3.0,3.0,5.0
params_cnn1d_kernel_size_1,3.0,0.7409585736349484,1.0,3.0,3.0,3.0,5.0
params_cnn1d_kernel_size_2,3.1666666666666665,1.7224014243685084,1.0,1.75,4.0,4.0,5.0
params_cnn1d_kernel_size_3,2.0,1.4142135623730951,1.0,1.0,1.5,2.5,4.0
params_cnn1d_pool_size_0,1.1612903225806452,0.37080101097607315,1.0,1.0,1.0,1.0,2.0
params_cnn1d_pool_size_1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn1d_pool_size_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn1d_pool_size_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_dense_1_dropout,0.1769230769230769,0.1832750490103429,0.0,0.0,0.1,0.30000000000000004,0.5
params_dense_1_units,320.0,154.57468529268735,64.0,192.0,320.0,448.0,512.0
params_dense_2_dropout,0.15555555555555556,0.11303883305208781,0.1,0.1,0.1,0.1,0.4
params_dense_2_units,376.8888888888889,144.68970630667238,64.0,320.0,384.0,512.0,512.0
params_dense_3_dropout,0.25,0.07071067811865477,0.2,0.22500000000000003,0.25,0.275,0.30000000000000004
params_dense_3_units,256.0,90.50966799187809,192.0,224.0,256.0,288.0,320.0
params_learning_rate,0.0005669702585344098,0.0006750714637341629,2.8208830168880347e-05,0.00029852183450938883,0.0004491378049835119,0.0005638040254169576,0.004776757196570951
params_num_dense_layers,0.3870967741935484,0.8169282471386519,0.0,0.0,0.0,0.0,3.0
params_num_layers,2.0,0.6775074858941582,1.0,2.0,2.0,2.0,4.0
