Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,90.66666666666667,57.62154479222527,64.0,64.0,64.0,80.0,256.0
params_cnn1d_filters_0,216.0,141.2258024325841,64.0,120.0,192.0,240.0,512.0
params_cnn1d_filters_1,256.0,149.1154873627437,32.0,144.0,272.0,384.0,448.0
params_cnn1d_filters_2,408.0,126.32233901148813,256.0,328.0,432.0,512.0,512.0
params_cnn1d_filters_3,448.0,110.85125168440814,320.0,416.0,512.0,512.0,512.0
params_cnn1d_kernel_size_0,3.1666666666666665,0.9374368665610923,2.0,2.75,3.0,4.0,5.0
params_cnn1d_kernel_size_1,2.5,1.1952286093343936,1.0,2.0,2.0,3.0,5.0
params_cnn1d_kernel_size_2,3.5,1.7320508075688772,1.0,3.25,4.0,4.25,5.0
params_cnn1d_kernel_size_3,2.0,1.7320508075688772,1.0,1.0,1.0,2.5,4.0
params_cnn1d_pool_size_0,1.3333333333333333,0.49236596391733095,1.0,1.0,1.0,2.0,2.0
params_cnn1d_pool_size_1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn1d_pool_size_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn1d_pool_size_3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_dense_1_dropout,0.14285714285714285,0.19023794624226836,0.0,0.0,0.1,0.2,0.5
params_dense_1_units,256.0,122.55066979281128,64.0,192.0,256.0,320.0,448.0
params_dense_2_dropout,0.16,0.1341640786499874,0.1,0.1,0.1,0.1,0.4
params_dense_2_units,460.8,83.4457907865939,320.0,448.0,512.0,512.0,512.0
params_dense_3_dropout,0.30000000000000004,,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
params_dense_3_units,192.0,,192.0,192.0,192.0,192.0,192.0
params_learning_rate,0.0009226808130617303,0.0014630669171684081,8.554044961106538e-05,0.00017035042603757796,0.000369004824259887,0.0005942435384871104,0.004776757196570951
params_num_dense_layers,1.0833333333333333,1.0836246694508316,0.0,0.0,1.0,2.0,3.0
params_num_layers,2.25,1.2154310870109943,1.0,1.0,2.0,3.25,4.0
