Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,128.0,70.10848736066126,64.0,80.0,128.0,128.0,256.0
params_cnn1d_filters_0,250.66666666666666,51.26662332031111,192.0,208.0,256.0,280.0,320.0
params_cnn1d_filters_1,218.66666666666666,55.11684557979227,160.0,168.0,224.0,256.0,288.0
params_cnn1d_filters_2,64.0,32.0,32.0,48.0,64.0,80.0,96.0
params_cnn1d_filters_3,,,,,,,
params_cnn1d_kernel_size_0,4.166666666666667,0.752772652709081,3.0,4.0,4.0,4.75,5.0
params_cnn1d_kernel_size_1,1.8333333333333333,1.6020819787597222,1.0,1.0,1.0,1.75,5.0
params_cnn1d_kernel_size_2,3.0,1.0,2.0,2.5,3.0,3.5,4.0
params_cnn1d_kernel_size_3,,,,,,,
params_cnn1d_pool_size_0,1.1666666666666667,0.408248290463863,1.0,1.0,1.0,1.0,2.0
params_cnn1d_pool_size_1,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0
params_cnn1d_pool_size_2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_cnn1d_pool_size_3,,,,,,,
params_dense_1_dropout,,,,,,,
params_dense_1_units,,,,,,,
params_dense_2_dropout,,,,,,,
params_dense_2_units,,,,,,,
params_dense_3_dropout,,,,,,,
params_dense_3_units,,,,,,,
params_learning_rate,0.0015595293889632885,0.0019514127173580953,0.00011710235655780604,0.0003491101586847496,0.0007664486553163928,0.001887412202582318,0.00523611262177731
params_num_dense_layers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
params_num_layers,2.5,0.5477225575051661,2.0,2.0,2.5,3.0,3.0
