Parameter,Category,Fraction,Count
params_cnn1d_activation_0,elu,0.3333333333333333,2
params_cnn1d_activation_0,relu,0.3333333333333333,2
params_cnn1d_activation_0,leaky_relu,0.16666666666666666,1
params_cnn1d_activation_0,swish,0.16666666666666666,1
params_cnn1d_activation_1,leaky_relu,0.3333333333333333,2
params_cnn1d_activation_1,sigmoid,0.16666666666666666,1
params_cnn1d_activation_1,tanh,0.16666666666666666,1
params_cnn1d_activation_1,relu,0.16666666666666666,1
params_cnn1d_activation_1,swish,0.16666666666666666,1
params_cnn1d_activation_2,swish,0.5,2
params_cnn1d_activation_2,leaky_relu,0.5,2
params_cnn1d_use_batch_norm_1,False,0.8333333333333334,5
params_cnn1d_use_batch_norm_1,True,0.16666666666666666,1
params_cnn1d_use_batch_norm_2,True,1.0,4
params_dense_1_activation,leaky_relu,0.5,1
params_dense_1_activation,elu,0.5,1
params_optimizer,AdamW,1.0,6
params_scaler,MinMaxScaler_0_1,0.6666666666666666,4
params_scaler,StandardScaler,0.16666666666666666,1
params_scaler,MinMaxScaler_-1_1,0.16666666666666666,1
