Parameter,Category,Fraction,Count
params_cnn1d_activation_0,relu,0.7894736842105263,30
params_cnn1d_activation_0,leaky_relu,0.10526315789473684,4
params_cnn1d_activation_0,swish,0.07894736842105263,3
params_cnn1d_activation_0,tanh,0.02631578947368421,1
params_cnn1d_activation_1,swish,0.8,28
params_cnn1d_activation_1,relu,0.08571428571428572,3
params_cnn1d_activation_1,tanh,0.05714285714285714,2
params_cnn1d_activation_1,sigmoid,0.02857142857142857,1
params_cnn1d_activation_1,elu,0.02857142857142857,1
params_cnn1d_activation_2,swish,0.59375,19
params_cnn1d_activation_2,elu,0.3125,10
params_cnn1d_activation_2,leaky_relu,0.0625,2
params_cnn1d_activation_2,tanh,0.03125,1
params_cnn1d_activation_3,elu,0.6666666666666666,2
params_cnn1d_activation_3,swish,0.3333333333333333,1
params_cnn1d_use_batch_norm_1,False,0.9428571428571428,33
params_cnn1d_use_batch_norm_1,True,0.05714285714285714,2
params_cnn1d_use_batch_norm_2,False,0.90625,29
params_cnn1d_use_batch_norm_2,True,0.09375,3
params_cnn1d_use_batch_norm_3,True,1.0,3
params_dense_1_activation,swish,0.9230769230769231,12
params_dense_1_activation,sigmoid,0.07692307692307693,1
params_dense_2_activation,relu,0.5384615384615384,7
params_dense_2_activation,swish,0.23076923076923078,3
params_dense_2_activation,tanh,0.15384615384615385,2
params_dense_2_activation,leaky_relu,0.07692307692307693,1
params_dense_3_activation,relu,1.0,2
params_optimizer,AdamW,1.0,38
params_scaler,StandardScaler,0.9736842105263158,37
params_scaler,MinMaxScaler_0_1,0.02631578947368421,1
