Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,85.33333333333333,53.251218837622,64.0,64.0,64.0,64.0,256.0
params_dnn_dropout_0,0.41111111111111115,0.10127393670836665,0.1,0.35000000000000003,0.4,0.5,0.5
params_dnn_dropout_1,0.2285714285714286,0.18898223650461363,0.0,0.05,0.30000000000000004,0.4,0.4
params_dnn_dropout_2,0.2285714285714286,0.14960264830861913,0.0,0.15000000000000002,0.2,0.35000000000000003,0.4
params_dnn_dropout_3,0.34,0.1949358868961793,0.0,0.4,0.4,0.4,0.5
params_dnn_dropout_4,0.2,0.1825741858350554,0.0,0.07500000000000001,0.2,0.32500000000000007,0.4
params_dnn_dropout_5,0.0,,0.0,0.0,0.0,0.0,0.0
params_dnn_units_0,1141.3333333333333,410.9516160927351,64.0,1072.0,1280.0,1376.0,2048.0
params_dnn_units_1,1330.2857142857142,604.5818704652316,352.0,944.0,1536.0,1808.0,1920.0
params_dnn_units_2,466.2857142857143,372.1996392106949,64.0,160.0,512.0,624.0,1120.0
params_dnn_units_3,979.2,609.0937530462778,288.0,416.0,1216.0,1248.0,1728.0
params_dnn_units_4,1696.0,207.38370234905153,1504.0,1576.0,1648.0,1768.0,1984.0
params_dnn_units_5,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0
params_learning_rate,0.0005585823325183023,0.001221034937528994,2.7302499521496612e-05,7.220481694853938e-05,0.00023226777422474687,0.0004223826073215427,0.005578982681976252
params_num_layers,1.8888888888888888,1.6251232694862385,1.0,1.0,1.0,2.0,6.0
