Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,115.2,83.44579078659392,64.0,64.0,64.0,128.0,256.0
params_dnn_dropout_0,0.32,0.130384048104053,0.1,0.30000000000000004,0.4,0.4,0.4
params_dnn_dropout_1,0.375,0.04999999999999999,0.30000000000000004,0.375,0.4,0.4,0.4
params_dnn_dropout_2,0.275,0.18929694486000911,0.0,0.22500000000000003,0.35000000000000003,0.4,0.4
params_dnn_dropout_3,0.3,0.2645751311064591,0.0,0.2,0.4,0.45,0.5
params_dnn_dropout_4,0.26666666666666666,0.15275252316519466,0.1,0.2,0.30000000000000004,0.35000000000000003,0.4
params_dnn_dropout_5,0.0,,0.0,0.0,0.0,0.0,0.0
params_dnn_units_0,678.4,627.2326522112827,64.0,160.0,480.0,1312.0,1376.0
params_dnn_units_1,1216.0,792.0673372047775,352.0,640.0,1296.0,1872.0,1920.0
params_dnn_units_2,472.0,471.298914349128,64.0,160.0,352.0,664.0,1120.0
params_dnn_units_3,650.6666666666666,521.249780175813,288.0,352.0,416.0,832.0,1248.0
params_dnn_units_4,1696.0,253.9921258622007,1504.0,1552.0,1600.0,1792.0,1984.0
params_dnn_units_5,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0
params_learning_rate,0.0018891958556956846,0.0026076774250159925,2.7302499521496612e-05,5.014562306947139e-05,5.948345293860285e-05,0.0037300650209726,0.005578982681976252
params_num_layers,4.0,2.0,1.0,3.0,5.0,5.0,6.0
