Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,89.6,51.77854943717699,64.0,64.0,64.0,128.0,256.0
params_dnn_dropout_0,0.26,0.13382485161243746,0.0,0.2,0.2,0.4,0.5
params_dnn_dropout_1,0.4511627906976744,0.13340252911012954,0.0,0.5,0.5,0.5,0.5
params_dnn_dropout_2,0.2305555555555555,0.13484264786238695,0.0,0.1,0.25,0.30000000000000004,0.5
params_dnn_dropout_3,0.19999999999999998,0.2645751311064591,0.0,0.05,0.1,0.3,0.5
params_dnn_dropout_4,0.0,,0.0,0.0,0.0,0.0,0.0
params_dnn_dropout_5,,,,,,,
params_dnn_units_0,1294.9333333333334,684.7483412970716,192.0,576.0,1664.0,1856.0,2048.0
params_dnn_units_1,1459.3488372093022,344.8018674488797,512.0,1424.0,1568.0,1664.0,2048.0
params_dnn_units_2,1289.7777777777778,483.420616092748,256.0,880.0,1344.0,1640.0,2048.0
params_dnn_units_3,661.3333333333334,695.4633946753296,32.0,288.0,544.0,976.0,1408.0
params_dnn_units_4,32.0,,32.0,32.0,32.0,32.0,32.0
params_dnn_units_5,,,,,,,
params_learning_rate,0.000283658354138602,0.0006965276985496732,1.832343715201974e-05,6.41373144781011e-05,9.438390105135642e-05,0.00013451476563592707,0.004194495130058847
params_num_layers,2.8444444444444446,0.6726999721460172,1.0,3.0,3.0,3.0,5.0
