Parameter,Category,Fraction,Count
params_dnn_activation_0,elu,0.6938775510204082,34
params_dnn_activation_0,relu,0.24489795918367346,12
params_dnn_activation_0,tanh,0.04081632653061224,2
params_dnn_activation_0,swish,0.02040816326530612,1
params_dnn_activation_1,swish,0.42857142857142855,21
params_dnn_activation_1,relu,0.40816326530612246,20
params_dnn_activation_1,elu,0.08163265306122448,4
params_dnn_activation_1,tanh,0.04081632653061224,2
params_dnn_activation_1,sigmoid,0.02040816326530612,1
params_dnn_activation_1,leaky_relu,0.02040816326530612,1
params_dnn_activation_2,elu,0.4782608695652174,22
params_dnn_activation_2,swish,0.21739130434782608,10
params_dnn_activation_2,leaky_relu,0.13043478260869565,6
params_dnn_activation_2,relu,0.08695652173913043,4
params_dnn_activation_2,tanh,0.043478260869565216,2
params_dnn_activation_2,sigmoid,0.043478260869565216,2
params_dnn_activation_3,relu,0.40476190476190477,17
params_dnn_activation_3,swish,0.3333333333333333,14
params_dnn_activation_3,elu,0.14285714285714285,6
params_dnn_activation_3,leaky_relu,0.09523809523809523,4
params_dnn_activation_3,sigmoid,0.023809523809523808,1
params_dnn_activation_4,elu,0.6585365853658537,27
params_dnn_activation_4,leaky_relu,0.17073170731707318,7
params_dnn_activation_4,relu,0.12195121951219512,5
params_dnn_activation_4,swish,0.04878048780487805,2
params_dnn_activation_5,elu,0.5714285714285714,12
params_dnn_activation_5,relu,0.23809523809523808,5
params_dnn_activation_5,leaky_relu,0.14285714285714285,3
params_dnn_activation_5,tanh,0.047619047619047616,1
params_optimizer,AdamW,1.0,49
params_scaler,StandardScaler,0.8979591836734694,44
params_scaler,MinMaxScaler_0_1,0.061224489795918366,3
params_scaler,MinMaxScaler_-1_1,0.04081632653061224,2
