Parameter,Category,Fraction,Count
params_dnn_activation_0,swish,0.7777777777777778,7
params_dnn_activation_0,relu,0.1111111111111111,1
params_dnn_activation_0,elu,0.1111111111111111,1
params_dnn_activation_1,relu,0.8888888888888888,8
params_dnn_activation_1,elu,0.1111111111111111,1
params_dnn_activation_2,elu,0.8888888888888888,8
params_dnn_activation_2,relu,0.1111111111111111,1
params_dnn_activation_3,swish,0.8888888888888888,8
params_dnn_activation_3,elu,0.1111111111111111,1
params_dnn_activation_4,leaky_relu,1.0,1
params_optimizer,AdamW,1.0,9
params_scaler,StandardScaler,1.0,9
