Parameter,Category,Fraction,Count
params_dnn_activation_0,sigmoid,0.3333333333333333,3
params_dnn_activation_0,swish,0.3333333333333333,3
params_dnn_activation_0,relu,0.2222222222222222,2
params_dnn_activation_0,elu,0.1111111111111111,1
params_dnn_activation_1,relu,0.6666666666666666,4
params_dnn_activation_1,tanh,0.3333333333333333,2
params_dnn_activation_2,leaky_relu,0.5,1
params_dnn_activation_2,tanh,0.5,1
params_dnn_activation_3,elu,1.0,1
params_dnn_activation_4,leaky_relu,1.0,1
params_optimizer,AdamW,1.0,9
params_scaler,StandardScaler,0.4444444444444444,4
params_scaler,MinMaxScaler_0_1,0.3333333333333333,3
params_scaler,MinMaxScaler_-1_1,0.2222222222222222,2
