Parameter,Category,Fraction,Count
params_dense_1_activation,leaky_relu,0.4230769230769231,11
params_dense_1_activation,elu,0.34615384615384615,9
params_dense_1_activation,tanh,0.07692307692307693,2
params_dense_1_activation,relu,0.07692307692307693,2
params_dense_1_activation,swish,0.038461538461538464,1
params_dense_1_activation,sigmoid,0.038461538461538464,1
params_dense_2_activation,elu,0.391304347826087,9
params_dense_2_activation,tanh,0.2608695652173913,6
params_dense_2_activation,relu,0.13043478260869565,3
params_dense_2_activation,leaky_relu,0.13043478260869565,3
params_dense_2_activation,swish,0.08695652173913043,2
params_dense_3_activation,relu,0.7777777777777778,14
params_dense_3_activation,tanh,0.1111111111111111,2
params_dense_3_activation,leaky_relu,0.05555555555555555,1
params_dense_3_activation,elu,0.05555555555555555,1
params_lstm_activation_layer_0,elu,0.4523809523809524,38
params_lstm_activation_layer_0,swish,0.27380952380952384,23
params_lstm_activation_layer_0,leaky_relu,0.21428571428571427,18
params_lstm_activation_layer_0,relu,0.05952380952380952,5
params_lstm_activation_layer_1,leaky_relu,0.5294117647058824,9
params_lstm_activation_layer_1,relu,0.23529411764705882,4
params_lstm_activation_layer_1,elu,0.11764705882352941,2
params_lstm_activation_layer_1,swish,0.058823529411764705,1
params_lstm_activation_layer_1,tanh,0.058823529411764705,1
params_lstm_activation_layer_2,tanh,0.3333333333333333,2
params_lstm_activation_layer_2,swish,0.3333333333333333,2
params_lstm_activation_layer_2,elu,0.16666666666666666,1
params_lstm_activation_layer_2,leaky_relu,0.16666666666666666,1
params_lstm_activation_layer_3,relu,0.3333333333333333,1
params_lstm_activation_layer_3,elu,0.3333333333333333,1
params_lstm_activation_layer_3,sigmoid,0.3333333333333333,1
params_lstm_activation_layer_4,swish,1.0,1
params_lstm_activation_layer_5,leaky_relu,1.0,1
params_optimizer,AdamW,1.0,84
params_scaler,StandardScaler,0.9285714285714286,78
params_scaler,MinMaxScaler_-1_1,0.047619047619047616,4
params_scaler,MinMaxScaler_0_1,0.023809523809523808,2
