Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,188.0,91.91300234460846,64.0,64.0,256.0,256.0,256.0
params_dense_1_dropout,0.36250000000000004,0.13601470508735444,0.1,0.275,0.4,0.5,0.5
params_dense_1_units,256.0,151.45164244735017,64.0,128.0,224.0,336.0,512.0
params_dense_2_dropout,0.18000000000000002,0.12649110640673517,0.0,0.1,0.1,0.25,0.5
params_dense_2_units,285.8666666666667,146.87500354609924,64.0,160.0,320.0,384.0,512.0
params_dense_3_dropout,0.11000000000000001,0.1197218999737865,0.0,0.0,0.1,0.17500000000000002,0.30000000000000004
params_dense_3_units,390.4,110.64578116172748,192.0,336.0,384.0,496.0,512.0
params_learning_rate,0.0004069231725007502,0.000776369699401241,2.4147994129452757e-05,8.722805631613528e-05,0.0001511467524362679,0.0004148537670798993,0.0032102082026996067
params_lstm_dropout_layer_0,0.15625,0.1631716887208072,0.0,0.0,0.1,0.22500000000000003,0.5
params_lstm_dropout_layer_1,0.18333333333333335,0.16422453217986943,0.0,0.1,0.1,0.25,0.5
params_lstm_dropout_layer_2,0.20000000000000004,0.20976176963403032,0.0,0.025,0.15000000000000002,0.35000000000000003,0.5
params_lstm_dropout_layer_3,0.10000000000000002,0.17320508075688776,0.0,0.0,0.0,0.15000000000000002,0.30000000000000004
params_lstm_dropout_layer_4,0.4,,0.4,0.4,0.4,0.4,0.4
params_lstm_dropout_layer_5,0.30000000000000004,,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
params_lstm_recurrent_dropout_layer_0,0.18125000000000002,0.12763881332363863,0.0,0.1,0.2,0.22500000000000003,0.5
params_lstm_recurrent_dropout_layer_1,0.14166666666666664,0.13113721705515066,0.0,0.1,0.1,0.2,0.5
params_lstm_recurrent_dropout_layer_2,0.13333333333333333,0.19663841605003504,0.0,0.0,0.05,0.17500000000000002,0.5
params_lstm_recurrent_dropout_layer_3,0.2333333333333333,0.2516611478423583,0.0,0.1,0.2,0.35,0.5
params_lstm_recurrent_dropout_layer_4,0.30000000000000004,,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
params_lstm_recurrent_dropout_layer_5,0.4,,0.4,0.4,0.4,0.4,0.4
params_lstm_units_layer_0,156.0,77.39767438366607,32.0,64.0,192.0,224.0,256.0
params_lstm_units_layer_1,128.0,66.84581988698797,32.0,88.0,128.0,168.0,256.0
params_lstm_units_layer_2,128.0,70.10848736066126,32.0,80.0,144.0,160.0,224.0
params_lstm_units_layer_3,202.66666666666666,92.37604307034012,96.0,176.0,256.0,256.0,256.0
params_lstm_units_layer_4,192.0,,192.0,192.0,192.0,192.0,192.0
params_lstm_units_layer_5,32.0,,32.0,32.0,32.0,32.0,32.0
params_num_dense_layers,2.5625,0.6291528696058958,1.0,2.0,3.0,3.0,3.0
params_num_layers,2.4375,1.3647344063956182,1.0,1.75,2.0,3.0,6.0
