Parameter,Category,Fraction,Count
params_dense_1_activation,relu,0.375,3
params_dense_1_activation,leaky_relu,0.25,2
params_dense_1_activation,swish,0.25,2
params_dense_1_activation,sigmoid,0.125,1
params_dense_2_activation,relu,0.75,3
params_dense_2_activation,elu,0.25,1
params_dense_3_activation,tanh,1.0,2
params_lstm_activation_layer_0,elu,0.46153846153846156,6
params_lstm_activation_layer_0,relu,0.15384615384615385,2
params_lstm_activation_layer_0,leaky_relu,0.15384615384615385,2
params_lstm_activation_layer_0,tanh,0.07692307692307693,1
params_lstm_activation_layer_0,swish,0.07692307692307693,1
params_lstm_activation_layer_0,sigmoid,0.07692307692307693,1
params_lstm_activation_layer_1,relu,0.3333333333333333,4
params_lstm_activation_layer_1,swish,0.25,3
params_lstm_activation_layer_1,leaky_relu,0.16666666666666666,2
params_lstm_activation_layer_1,elu,0.08333333333333333,1
params_lstm_activation_layer_1,sigmoid,0.08333333333333333,1
params_lstm_activation_layer_1,tanh,0.08333333333333333,1
params_lstm_activation_layer_2,elu,0.625,5
params_lstm_activation_layer_2,leaky_relu,0.25,2
params_lstm_activation_layer_2,swish,0.125,1
params_lstm_activation_layer_3,tanh,0.42857142857142855,3
params_lstm_activation_layer_3,relu,0.2857142857142857,2
params_lstm_activation_layer_3,sigmoid,0.14285714285714285,1
params_lstm_activation_layer_3,swish,0.14285714285714285,1
params_lstm_activation_layer_4,relu,0.25,1
params_lstm_activation_layer_4,elu,0.25,1
params_lstm_activation_layer_4,swish,0.25,1
params_lstm_activation_layer_4,sigmoid,0.25,1
params_lstm_activation_layer_5,leaky_relu,1.0,2
params_optimizer,AdamW,1.0,13
params_scaler,StandardScaler,0.6923076923076923,9
params_scaler,MinMaxScaler_0_1,0.3076923076923077,4
