Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,143.05882352941177,42.50951450592457,128.0,128.0,128.0,128.0,256.0
params_dense_1_dropout,,,,,,,
params_dense_1_units,,,,,,,
params_dense_2_dropout,,,,,,,
params_dense_2_units,,,,,,,
params_dense_3_dropout,,,,,,,
params_dense_3_units,,,,,,,
params_learning_rate,0.0016158755687714504,0.0007133812452464069,0.0008591281768797872,0.0011162499892252026,0.001285455441617766,0.002326197111029937,0.0029667572159387894
params_lstm_dropout_layer_0,0.11764705882352941,0.09510056596602791,0.0,0.0,0.2,0.2,0.2
params_lstm_dropout_layer_1,0.3941176470588236,0.02425356250363329,0.30000000000000004,0.4,0.4,0.4,0.4
params_lstm_dropout_layer_2,,,,,,,
params_lstm_dropout_layer_3,,,,,,,
params_lstm_dropout_layer_4,,,,,,,
params_lstm_dropout_layer_5,,,,,,,
params_lstm_recurrent_dropout_layer_0,0.12352941176470589,0.056229571453838716,0.1,0.1,0.1,0.1,0.30000000000000004
params_lstm_recurrent_dropout_layer_1,0.1,0.0,0.1,0.1,0.1,0.1,0.1
params_lstm_recurrent_dropout_layer_2,,,,,,,
params_lstm_recurrent_dropout_layer_3,,,,,,,
params_lstm_recurrent_dropout_layer_4,,,,,,,
params_lstm_recurrent_dropout_layer_5,,,,,,,
params_lstm_units_layer_0,254.11764705882354,7.761140001162655,224.0,256.0,256.0,256.0,256.0
params_lstm_units_layer_1,163.76470588235293,35.56601153447752,128.0,128.0,192.0,192.0,224.0
params_lstm_units_layer_2,,,,,,,
params_lstm_units_layer_3,,,,,,,
params_lstm_units_layer_4,,,,,,,
params_lstm_units_layer_5,,,,,,,
params_num_dense_layers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
params_num_layers,2.0,0.0,2.0,2.0,2.0,2.0,2.0
