Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,128.0,41.89783492531053,64.0,128.0,128.0,128.0,256.0
params_dense_1_dropout,0.17222222222222222,0.1487420014875958,0.0,0.1,0.15000000000000002,0.2,0.5
params_dense_1_units,252.44444444444446,141.36736549198258,64.0,192.0,192.0,304.0,512.0
params_dense_2_dropout,0.3666666666666667,0.14974726182552528,0.0,0.30000000000000004,0.4,0.5,0.5
params_dense_2_units,293.3333333333333,134.96217202900922,64.0,176.0,352.0,384.0,448.0
params_dense_3_dropout,0.2,,0.2,0.2,0.2,0.2,0.2
params_dense_3_units,64.0,,64.0,64.0,64.0,64.0,64.0
params_learning_rate,0.0015533250600437349,0.0014602476476435415,1.8023023436268852e-05,0.0007447731678582242,0.001169405758153278,0.0019422722739924634,0.009168245304616632
params_lstm_dropout_layer_0,0.2294117647058824,0.12518893284776822,0.0,0.2,0.2,0.30000000000000004,0.5
params_lstm_dropout_layer_1,0.37424242424242404,0.08824895913198516,0.0,0.4,0.4,0.4,0.5
params_lstm_dropout_layer_2,0.30000000000000004,0.1,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4
params_lstm_dropout_layer_3,0.2,,0.2,0.2,0.2,0.2,0.2
params_lstm_dropout_layer_4,0.0,,0.0,0.0,0.0,0.0,0.0
params_lstm_dropout_layer_5,0.1,,0.1,0.1,0.1,0.1,0.1
params_lstm_recurrent_dropout_layer_0,0.231764705882353,0.16051388065321,0.0,0.1,0.2,0.30000000000000004,0.5
params_lstm_recurrent_dropout_layer_1,0.13636363636363635,0.11318652221527443,0.0,0.1,0.1,0.1,0.5
params_lstm_recurrent_dropout_layer_2,0.26666666666666666,0.11547005383792516,0.2,0.2,0.2,0.30000000000000004,0.4
params_lstm_recurrent_dropout_layer_3,0.4,,0.4,0.4,0.4,0.4,0.4
params_lstm_recurrent_dropout_layer_4,0.5,,0.5,0.5,0.5,0.5,0.5
params_lstm_recurrent_dropout_layer_5,0.2,,0.2,0.2,0.2,0.2,0.2
params_lstm_units_layer_0,228.89411764705883,44.303612539313455,64.0,224.0,256.0,256.0,256.0
params_lstm_units_layer_1,171.15151515151516,40.668355652953956,32.0,136.0,192.0,192.0,256.0
params_lstm_units_layer_2,138.66666666666666,48.88080741286229,96.0,112.0,128.0,160.0,192.0
params_lstm_units_layer_3,224.0,,224.0,224.0,224.0,224.0,224.0
params_lstm_units_layer_4,192.0,,192.0,192.0,192.0,192.0,192.0
params_lstm_units_layer_5,192.0,,192.0,192.0,192.0,192.0,192.0
params_num_dense_layers,0.36470588235294116,0.7535164993853408,0.0,0.0,0.0,0.0,3.0
params_num_layers,1.8470588235294119,0.6456057021813512,1.0,2.0,2.0,2.0,6.0
