Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,135.11111111111111,42.46493188798933,64.0,128.0,128.0,128.0,256.0
params_dense_1_dropout,0.18666666666666665,0.1807392228230128,0.0,0.05,0.1,0.4,0.5
params_dense_1_units,213.33333333333334,154.25890419619063,64.0,96.0,192.0,288.0,512.0
params_dense_2_dropout,0.22499999999999998,0.19820624179302299,0.0,0.07500000000000001,0.2,0.4,0.5
params_dense_2_units,352.0,136.8377558591613,128.0,256.0,352.0,464.0,512.0
params_dense_3_dropout,0.35,0.21213203435596426,0.2,0.275,0.35,0.425,0.5
params_dense_3_units,512.0,0.0,512.0,512.0,512.0,512.0,512.0
params_learning_rate,0.00017977540506095095,0.0005392353019385537,1.009073371386179e-05,3.898698918869664e-05,5.492309953018672e-05,8.827225786130777e-05,0.003809786685090124
params_num_dense_layers,0.46296296296296297,0.8403270469122051,0.0,0.0,0.0,1.0,3.0
params_num_layers,1.5740740740740742,1.0019198900648778,1.0,1.0,1.0,2.0,4.0
params_tcnn1d_filters_0,296.2962962962963,164.1349685793739,32.0,104.0,368.0,416.0,512.0
params_tcnn1d_filters_1,276.0,153.1883372410141,32.0,128.0,304.0,392.0,512.0
params_tcnn1d_filters_2,288.0,149.33333333333334,32.0,184.0,304.0,376.0,480.0
params_tcnn1d_filters_3,313.6,197.77967539663928,64.0,192.0,288.0,512.0,512.0
params_tcnn1d_kernel_size_0,4.037037037037037,1.5167363542863,1.0,3.25,5.0,5.0,5.0
params_tcnn1d_kernel_size_1,3.25,1.4375905768565218,1.0,2.0,4.0,4.0,5.0
params_tcnn1d_kernel_size_2,2.8,1.4757295747452437,1.0,2.0,2.5,3.75,5.0
params_tcnn1d_kernel_size_3,3.0,1.8708286933869707,1.0,1.0,4.0,4.0,5.0
params_tcnn1d_pool_size_0,6.703703703703703,1.4225890512250081,2.0,6.0,7.0,8.0,8.0
params_tcnn1d_pool_size_1,6.0625,1.6111590031195968,3.0,5.0,6.0,7.25,8.0
params_tcnn1d_pool_size_2,5.3,2.1628170930011112,2.0,4.25,5.5,6.75,8.0
params_tcnn1d_pool_size_3,5.0,3.0,2.0,2.0,5.0,8.0,8.0
