Parameter,Category,Fraction,Count
params_dense_1_activation,swish,0.46153846153846156,6
params_dense_1_activation,sigmoid,0.15384615384615385,2
params_dense_1_activation,elu,0.15384615384615385,2
params_dense_1_activation,leaky_relu,0.15384615384615385,2
params_dense_1_activation,relu,0.07692307692307693,1
params_dense_2_activation,relu,0.5,5
params_dense_2_activation,leaky_relu,0.3,3
params_dense_2_activation,tanh,0.2,2
params_dense_3_activation,elu,0.6666666666666666,4
params_dense_3_activation,swish,0.3333333333333333,2
params_optimizer,AdamW,1.0,60
params_scaler,StandardScaler,0.9,54
params_scaler,MinMaxScaler_0_1,0.06666666666666667,4
params_scaler,MinMaxScaler_-1_1,0.03333333333333333,2
params_tcnn1d_activation_0,relu,0.8166666666666667,49
params_tcnn1d_activation_0,leaky_relu,0.06666666666666667,4
params_tcnn1d_activation_0,sigmoid,0.05,3
params_tcnn1d_activation_0,swish,0.05,3
params_tcnn1d_activation_0,elu,0.016666666666666666,1
params_tcnn1d_activation_1,leaky_relu,0.5,5
params_tcnn1d_activation_1,swish,0.2,2
params_tcnn1d_activation_1,elu,0.2,2
params_tcnn1d_activation_1,sigmoid,0.1,1
params_tcnn1d_activation_2,tanh,0.4,2
params_tcnn1d_activation_2,sigmoid,0.2,1
params_tcnn1d_activation_2,relu,0.2,1
params_tcnn1d_activation_2,leaky_relu,0.2,1
params_tcnn1d_activation_3,elu,1.0,2
params_tcnn1d_use_batch_norm_1,False,0.7,7
params_tcnn1d_use_batch_norm_1,True,0.3,3
params_tcnn1d_use_batch_norm_2,False,0.6,3
params_tcnn1d_use_batch_norm_2,True,0.4,2
params_tcnn1d_use_batch_norm_3,False,1.0,2
