Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,149.33333333333334,68.67755135854846,64.0,128.0,128.0,160.0,256.0
params_dense_1_dropout,0.2555555555555556,0.1740051084818425,0.0,0.2,0.30000000000000004,0.4,0.5
params_dense_1_units,234.66666666666666,119.73303637676614,64.0,192.0,256.0,320.0,384.0
params_dense_2_dropout,0.30000000000000004,0.1632993161855452,0.1,0.25000000000000006,0.30000000000000004,0.35000000000000003,0.5
params_dense_2_units,240.0,217.81949713772946,64.0,64.0,192.0,368.0,512.0
params_dense_3_dropout,0.2,0.14142135623730953,0.1,0.15000000000000002,0.2,0.25000000000000006,0.30000000000000004
params_dense_3_units,320.0,90.50966799187809,256.0,288.0,320.0,352.0,384.0
params_learning_rate,0.0002806560336957679,0.0003390219315813312,1.7862319014939756e-05,2.5631538192132362e-05,0.00010830895458200519,0.0004392651780185016,0.0010747563985824885
params_num_dense_layers,1.25,1.0552897060221726,0.0,0.75,1.0,2.0,3.0
params_num_layers,2.75,1.1381803659589922,1.0,2.0,3.0,4.0,4.0
params_tcnn1d_filters_0,269.3333333333333,144.0538619805632,32.0,176.0,240.0,368.0,512.0
params_tcnn1d_filters_1,364.8,101.41750889817355,160.0,304.0,400.0,440.0,480.0
params_tcnn1d_filters_2,265.14285714285717,164.9519410529711,32.0,160.0,288.0,352.0,512.0
params_tcnn1d_filters_3,344.0,148.6651718908411,160.0,256.0,368.0,456.0,480.0
params_tcnn1d_kernel_size_0,3.4166666666666665,1.378954368902449,1.0,2.75,3.0,5.0,5.0
params_tcnn1d_kernel_size_1,2.8,1.2292725943057181,1.0,2.0,2.5,3.75,5.0
params_tcnn1d_kernel_size_2,2.857142857142857,1.5735915849388862,1.0,1.5,3.0,4.0,5.0
params_tcnn1d_kernel_size_3,3.5,1.9148542155126762,1.0,2.5,4.0,5.0,5.0
params_tcnn1d_pool_size_0,5.416666666666667,1.928651593652148,3.0,3.75,6.0,7.0,8.0
params_tcnn1d_pool_size_1,5.7,2.057506581601462,2.0,5.0,6.0,7.0,8.0
params_tcnn1d_pool_size_2,4.428571428571429,2.0701966780270626,2.0,3.0,4.0,6.0,7.0
params_tcnn1d_pool_size_3,5.25,2.5,2.0,4.25,5.5,6.5,8.0
