Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,234.66666666666666,64.0,64.0,256.0,256.0,256.0,256.0
params_dense_1_dropout,0.0,,0.0,0.0,0.0,0.0,0.0
params_dense_1_units,384.0,,384.0,384.0,384.0,384.0,384.0
params_dense_2_dropout,,,,,,,
params_dense_2_units,,,,,,,
params_dense_3_dropout,,,,,,,
params_dense_3_units,,,,,,,
params_learning_rate,0.002967067544688116,0.0016870684451465523,0.001241362638245597,0.0016221634543845639,0.0024944963369574616,0.003706663588378487,0.006636345130558994
params_num_dense_layers,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
params_num_layers,1.0,0.0,1.0,1.0,1.0,1.0,1.0
params_tcnn1d_filters_0,152.88888888888889,90.19485080153473,32.0,128.0,160.0,160.0,352.0
params_tcnn1d_filters_1,,,,,,,
params_tcnn1d_filters_2,,,,,,,
params_tcnn1d_filters_3,,,,,,,
params_tcnn1d_kernel_size_0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
params_tcnn1d_kernel_size_1,,,,,,,
params_tcnn1d_kernel_size_2,,,,,,,
params_tcnn1d_kernel_size_3,,,,,,,
params_tcnn1d_pool_size_0,4.666666666666667,0.9999999999999999,3.0,5.0,5.0,5.0,6.0
params_tcnn1d_pool_size_1,,,,,,,
params_tcnn1d_pool_size_2,,,,,,,
params_tcnn1d_pool_size_3,,,,,,,
